stock_id,Date,Open,High,Low,Close,Volume
8,06/11/2024 16:00:00,77.15,78.15,75.74,78.02,3690817
8,07/11/2024 16:00:00,78.14,79.82,77.99,79.65,3295074
8,08/11/2024 16:00:00,79.74,79.91,78.86,79.5,1910626
8,11/11/2024 16:00:00,79.59,80.68,79.56,80.54,2399150
8,12/11/2024 16:00:00,80.75,82.04,80.38,81.95,2814064
8,13/11/2024 16:00:00,82.26,83.7,82.05,83.05,2767772
8,14/11/2024 16:00:00,83.37,84.1,83,83.73,3038231
8,15/11/2024 16:00:00,83.2,83.2,81.65,82.4,3673720
8,18/11/2024 16:00:00,81.55,84.85,80.93,84.71,4084081
8,19/11/2024 16:00:00,83.98,87.45,83.92,87.13,3814227
8,20/11/2024 16:00:00,88,89.06,86.84,88.39,4093843
8,21/11/2024 16:00:00,88.39,90.8,87.72,89.75,4511263
8,22/11/2024 16:00:00,89.6,90.6,89.3,89.78,3214020
8,25/11/2024 16:00:00,90.21,90.21,86.42,86.56,6014203
8,26/11/2024 16:00:00,86.75,88.64,86.73,87.26,3138259
8,27/11/2024 16:00:00,87.21,88.1,85.89,87.73,2578222
